addr,location,agency,_X,_Y
"서울특별시 강북구 오현로 180 (번동, 한솔 솔파크아파트)",103동 관리사무소 실외 좌측 벽면,번동한솔아파트,127.0388041,37.62720562
"서울특별시 강북구 도봉로 지하198, 미아역 (미아동)","지하1층 대합실 5, 6번 출입구 좌측벽면",미아역,127.0261028,37.62644324
"서울특별시 강북구 도봉로 지하338, 수유역 (수유동)",8번 출구 앞,수유역,127.0253566,37.63774482
서울특별시 강남구 광평로10길 15 상록수아파트,1층 관리사무소,상록수아파트관리사무소,127.0836054,37.48172094
"서울특별시 마포구 성암로 330, DMC첨단산업센터 (상암동)",1층 중앙로비,DMC첨단산업센터,126.8858946,37.58472648
"서울특별시 동작구 사당로9가길 58, 사당중학교 (사당동)",후관 1층 제1교무실 앞 복도,사당중학교,126.9691819,37.48789447
서울특별시 용산구 백범로 350,3층 헬스장,용산구문화체육센터(용산구시설관리공단),126.967628,37.53724205
서울특별시 용산구 새창로12길 13,1층 민원실,용문동주민센터,126.9575847,37.53895668
서울특별시 성동구 왕십리로 222-1,본관1층 로비,한양대학교병원,127.0447241,37.55992699
"서울특별시 강북구 도봉로 지하338, 수유역 (수유동)",5번 출구 앞,수유역,127.0253566,37.63774482
서울특별시 용산구 서빙고로 279,1층 민원실,서빙고동주민센터,126.9946531,37.52047755
서울특별시 도봉구 도봉로180길 77,2동,도봉극동아파트,127.0493601,37.68271462
서울특별시 용산구 두텁바위로 25,2층 현관 엘리베이터 옆,갈월종합사회복지관,126.9748247,37.54577401
서울특별시 성동구 마장로23길 10  (홍익동),1층 안내데스크,소월아트홀,127.0332143,37.56708112
서울특별시 마포구 월드컵로 212,구청1층 심폐소생술교육장 앞,마포구청,126.9018212,37.56691842
서울특별시 성동구 왕십리로 222-1,국제협력병원(내시경실),한양대학교병원의공과,127.0447241,37.55992699
서울특별시 광진구 워커힐로 177  (광장동),그랜드워커힐호텔 본관 B2 헬스장 내,sk네트웍스(주)워커힐,127.1110229,37.55523724
"서울특별시 성동구 성덕정9가길 13, 성원중학교 (성수동2가)",3층 보건실,성원중학교,127.0521898,37.53934523
서울특별시 도봉구 도봉로180길 77,2동 경비실,도봉극동아파트,127.0493601,37.68271462
"서울특별시 구로구 경인로 662  (신도림동, 디큐브시티)",지하1층 안전관리실 옆,"현대백화점,디큐브시티",126.8882136,37.50812409
"서울특별시 구로구 고척로 52  (오류동, 한신플러스타운)",101동 1층,오류한신플러스타운아파트관리사무소,126.8408093,37.49800918
"서울특별시 광진구 뚝섬로36가길 15, 삼성아파트 (자양동)",102동7~11라인 승강기 앞,자양동삼성아파트,127.071557,37.53195296
서울특별시 성동구 왕십리로 222-1,서관5층(내분비대사내과),한양대학교병원의공과,127.0447241,37.55992699
서울특별시 광진구 워커힐로 177  (광장동),그랜드워커힐 호텔 지하2층 건강관리실,sk네트웍스(주)워커힐,127.1110229,37.55523724
"서울특별시 구로구 경인로 638  (신도림동, 신도림에스케이뷰)",신도림SK뷰 관리사무소 내부,신도림SK뷰관리사무소,126.8862338,37.50706645
"서울특별시 광진구 뚝섬로36가길 15, 삼성아파트 (자양동)",102동3~4라인 승강기 앞,자양동삼성아파트,127.071557,37.53195296
"서울특별시 서초구 서초중앙로 83, 서운빌딩 6층 (서초동)",특수구급차-70로 8767 내부,엠티케어응급환자이송단,127.0142142,37.4891356
서울특별시 구로구 새말로16길 7 구로노인종합복지관 (구로동),1층 체력단련실,구로노인종합복지관,126.8906188,37.50524409
"서울특별시 구로구 고척로 52  (오류동, 한신플러스타운)",104동 1층,오류한신플러스타운아파트관리사무소,126.8408093,37.49800918
"서울특별시 서초구 서초중앙로 188 (서초동, 아크로비스타)",아크로비스타생활지원센터 1동로비,아크로비스타생활지원센터,127.0129349,37.4990579
서울특별시 성동구 왕십리로 222-1,동관1층(류마티스병원),한양대학교병원의공과,127.0447241,37.55992699
"서울특별시 광진구 뚝섬로36가길 15, 삼성아파트 (자양동)",103동5~9라인 승강기 옆,자양동삼성아파트,127.071557,37.53195296
"서울특별시 서초구 서초대로54길 45, 서초구립중앙노인복지관 (서초동)",1층 로비,서초중앙노인복지관,127.0168112,37.49232444
"서울특별시 서초구 서초중앙로 83, 서운빌딩 6층 (서초동)",특수구급차-75보 9137 내부,엠티케어응급환자이송단,127.0142142,37.4891356
서울특별시 서초구 청계산로 지하 179 고객안내센터 내,고객안내센터 내,청계산입구역,127.0546321,37.44836753
서울특별시 서초구 헌릉로 260,소아청소년과외래,서울특별시어린이병원,127.068817,37.45529216
서울특별시 서초구 신반포로33길 15 105동,105동앞,잠원동아아파트,127.0097652,37.50852076
"서울특별시 서초구 서초중앙로 188 (서초동, 아크로비스타)",아크로비스타 생활지원센터 4동로비,아크로비스타생활지원센터,127.0129349,37.4990579
"서울특별시 광진구 뚝섬로36가길 15, 삼성아파트 (자양동)",101동 3호라인 승강기 앞,자양동삼성아파트,127.071557,37.53195296
서울특별시 광진구 워커힐로 177  (광장동),더글라스 건물 1층 로비,sk네트웍스(주)워커힐,127.1110229,37.55523724
서울특별시 서초구 신반포로33길 15 104동,104동앞,잠원동아아파트,127.0097652,37.50852076
서울특별시 서초구 신반포로33길 15 102동,102동앞,잠원동아아파트,127.0097652,37.50852076
"서울특별시 서초구 남부순환로340길 58, 서울특별시인재개발원 (서초동)",배움관 1층 로비,인재개발원,127.0234265,37.48118436
서울특별시 동작구 상도로 369 숭실대학교 (상도동),민자기숙사 현관,숭실대학교,126.955137,37.49653223
서울특별시 서초구 신반포로33길 15 108동앞,108동앞,잠원동아아파트,127.0097652,37.50852076
"서울특별시 광진구 뚝섬로36가길 15, 삼성아파트 (자양동)",104동입구,자양동삼성아파트,127.071557,37.53195296
"서울특별시 서초구 서초중앙로 188 (서초동, 아크로비스타)",아크로비스타 생활지원센터 2동로비,아크로비스타생활지원센터,127.0129349,37.4990579
"서울특별시 서초구 서초중앙로 83, 서운빌딩 6층 (서초동)",특수구급차-71고 6475 내부,엠티케어응급환자이송단,127.0142142,37.4891356
"서울특별시 서초구 사평대로28길 70, 반포4동주민센터 (반포동)",1층 무인발급기 옆,반포4동주민센터,127.0003277,37.49748465
"서울특별시 동작구 상도로55길 47 상도래미안2차아파트 (상도동, 래미안상도2차아파트)",202동,상도래미안2차아파트,126.959151,37.4982308
서울특별시 서초구 나루터로 38,잠원동주민센터,잠원동주민센터,127.0139817,37.51496846
서울특별시 서초구 반포대로 34(서초동),2층 민원실,서초3동주민센터,127.0119899,37.48371466
"서울특별시 서초구 서초중앙로 188 (서초동, 아크로비스타)",아크로비스타 생활지원센터 5동로비,아크로비스타생활지원센터,127.0129349,37.4990579
서울특별시 서초구 신반포로33길 15 106동,106동앞,잠원동아아파트,127.0097652,37.50852076
서울특별시 서초구 신반포로33길 15 103동,103동앞,잠원동아아파트,127.0097652,37.50852076
"서울특별시 서초구 서초중앙로 83, 서운빌딩 6층 (서초동)",특수구급차-70두 7923 내부,엠티케어응급환자이송단,127.0142142,37.4891356
"서울특별시 서초구 사평대로 지하 285, 사평역 (반포동)",대합실 B1층,9호선사평역,127.0154343,37.50415905
"서울특별시 서초구 신반포로23길 78, 반포3동주민센터 (잠원동)",반포3동주민센터,반포3동주민센터,127.0056087,37.51204847
"서울특별시 동작구 상도로55길 47 상도래미안2차아파트 (상도동, 래미안상도2차아파트)",201동,상도래미안2차아파트,126.959151,37.4982308
서울특별시 서초구 방배로27길 13(방배동),방배4동주민센터 민원실,방배4동주민센터,126.9913579,37.48961086
"서울특별시 서초구 청두곶길 36, 방배2동주민센터 (방배동)",1층 민원실,방배2동주민센터,126.9857135,37.47984093
"서울특별시 서초구 서초중앙로 188 (서초동, 아크로비스타)",아크로비스타 생활지원센터 3동로비,아크로비스타생활지원센터,127.0129349,37.4990579
서울특별시 서초구 남부순환로 2610,양재종합사회복지관1층,양재종합사회복지관,127.0361642,37.48452592
"서울특별시 서초구 사임당로 89, 서초1동주민센터 (서초동)",1층 민원실 창문쪽,서초1동주민센터,127.019468,37.49019365
"서울특별시 서초구 강남대로30길 73-7, 서초노인주간보호센터 (양재동)",서초구립양재노인종합복지관1층,서초구립양재노인종합복지관,127.0408139,37.48301627
서울특별시 서초구 신반포로33길 15 101동앞,101동앞,잠원동아아파트,127.0097652,37.50852076
"서울특별시 서초구 신반포로 지하 105, 신반포역 (반포동)",대합실 B1층,9호선신반포역,126.9958984,37.50341389
서울특별시 서초구 사평대로 273,반포1동주민센터,반포1동주민센터,127.0133782,37.50509341
"서울특별시 서초구 서초대로74길 11, 삼성전자빌딩 26층 (서초동)",A파트,삼성전자서초사옥,127.0269145,37.49663327
서울특별시 서초구 신반포로33길 15 107동,107동앞,잠원동아아파트,127.0097652,37.50852076
"서울특별시 동작구 상도로55길 47 상도래미안2차아파트 (상도동, 래미안상도2차아파트)",206동,상도래미안2차아파트,126.959151,37.4982308
서울특별시 서초구 서운로26길 3,서초4동주민센터1층 민원실,서초4동주민센터,127.0222106,37.50271653
서울특별시 서초구 동광로19길 38,방배본동주민센터,방배본동주민센터,126.9888474,37.49414919
"서울특별시 서초구 신반포로15길 16, 반포2동주민센터 (반포동)",반포2동주민센터1층 민원실,반포2동주민센터,126.9944728,37.50458858
"서울특별시 서초구 남부순환로 2124, 까리따스방배종합사회복지관 (방배동)",3층 복도,까리따스방배종합사회복지관,126.9842185,37.47461193
"서울특별시 서초구 서초대로74길 11, 삼성전자빌딩 3층 (서초동)",안내데스크(남측),삼성전자서초사옥,127.0269145,37.49663327
"서울특별시 서초구 청계산로15길 77, 내곡열린문화센터 (신원동)",3층 비상문계단옆,내곡열린문화센터,127.0583141,37.44935753
"서울특별시 서초구 서초대로74길 11, 삼성전자빌딩 28층 (서초동)",A파트,삼성전자서초사옥,127.0269145,37.49663327
"서울특별시 서초구 서초대로70길 51, 서초2동주민센터 (서초동)",1층 민원실 번호표 대기 기계 옆,서초2동주민센터,127.0249474,37.492069
"서울특별시 동작구 상도로55길 47 상도래미안2차아파트 (상도동, 래미안상도2차아파트)",204동,상도래미안2차아파트,126.959151,37.4982308
"서울특별시 서초구 서초대로74길 11, 삼성전자빌딩 5층 (서초동)",다목적홀 입구측,삼성전자서초사옥,127.0269145,37.49663327
"서울특별시 서초구 태봉로2길 5(우면동, 서초네이처힐5단지)",관리사무소,서초네이처힐5단지,127.0261139,37.46230801
서울특별시 서초구 방배로10길 10-20,방배3동주민센터1층,방배3동주민센터,126.9990356,37.48029476
서울특별시 서초구 신반포로 10,반포본동주민센터,반포본동주민센터,126.9860918,37.50048189
"서울특별시 서초구 신반포로 지하 17, 구반포역 (반포동)",지하1층 대합실,9호선구반포역,126.9873749,37.50144921
"서울특별시 서초구 서초대로74길 11, 삼성전자빌딩  19층 (서초동)",A파트,삼성전자서초사옥,127.0269145,37.49663327
"서울특별시 서초구 서초대로74길 11, 삼성전자빌딩 B5층 (서초동)",셔틀 승강기 앞,삼성전자서초사옥,127.0269145,37.49663327
"서울특별시 서초구 효령로29길 43, 방배1동주민센터 (방배동)",1층 민원실,방배1동주민센터,126.9945152,37.48336357
"서울특별시 동작구 상도로55길 47 상도래미안2차아파트 (상도동, 래미안상도2차아파트)",208동,상도래미안2차아파트,126.959151,37.4982308
"서울특별시 서초구 서초대로74길 11, 삼성전자빌딩  27층 (서초동)",A파트,삼성전자서초사옥,127.0269145,37.49663327
"서울특별시 서초구 서초대로74길 11, 삼성전자빌딩 38층 (서초동)",38층 A파트동측,삼성전자서초사옥,127.0269145,37.49663327
서울특별시 서초구 바우뫼로 41,양재1동주민센터,양재1동주민센터,127.0266666,37.47166728
"서울특별시 서초구 서초대로74길 11, 삼성전자빌딩 PH2층 (서초동)",전기실 내부,삼성전자서초사옥,127.0269145,37.49663327
"서울특별시 서초구 서초대로74길 11, 삼성전자빌딩 B7층 (서초동)",셔틀 승강기 앞,삼성전자서초사옥,127.0269145,37.49663327
"서울특별시 서초구 서초대로74길 11, 삼성전자빌딩 30층 (서초동)",승강기홀입구(동측),삼성전자서초사옥,127.0269145,37.49663327
"서울특별시 동작구 상도로55길 47 상도래미안2차아파트 (상도동, 래미안상도2차아파트)",205동,상도래미안2차아파트,126.959151,37.4982308
"서울특별시 서초구 서초대로74길 11, 삼성전자빌딩 42층 (서초동)",42층 A파트동측,삼성전자서초사옥,127.0269145,37.49663327
"서울특별시 서초구 서초대로74길 11, 삼성전자빌딩  B1층 (서초동)",우리은행 앞,삼성전자서초사옥,127.0269145,37.49663327
"서울특별시 서초구 서초대로74길 11, 삼성전자빌딩 39층 (서초동)",B파트,삼성전자서초사옥,127.0269145,37.49663327
"서울특별시 서초구 서초대로74길 11, 삼성전자빌딩 22층 (서초동)",B파트 전기실 내부,삼성전자서초사옥,127.0269145,37.49663327
"서울특별시 서초구 서초대로74길 11, 삼성전자빌딩 41층 (서초동)",41층 A파트동측,삼성전자서초사옥,127.0269145,37.49663327
"서울특별시 강남구 광평로 185, 태화기독교사회복지관 (수서동)",지하1층 안내데스크,태화기독교사회복지관,127.0933965,37.48483049
"서울특별시 동작구 상도로55길 47 상도래미안2차아파트 (상도동, 래미안상도2차아파트)",209동,상도래미안2차아파트,126.959151,37.4982308
"서울특별시 서초구 서초대로74길 11, 삼성전자빌딩 6층 (서초동)",안내데스크(서측),삼성전자서초사옥,127.0269145,37.49663327
"서울특별시 양천구 목동서로 339, 양천보건소 (신정동)",1층 안내데스크 옆,양천구보건소,126.8657355,37.51770046
